time,open,high,low,close
1782736170,68.34,68.48,68.33,68.48
1782736200,68.48,68.48,68.2,68.26
1782736230,68.26,68.47,68.24,68.38
1782736260,68.4,68.47,68.38,68.44
1782736290,68.45,68.66,68.4,68.66
1782736320,68.66,68.71,68.48,68.65
1782736350,68.65,68.85,68.64,68.7
1782736380,68.7,68.7,68.52,68.55
1782736410,68.55,68.55,68.44,68.51
1782736440,68.51,68.53,68.43,68.52
1782736470,68.53,68.81,68.49,68.81
1782736500,68.84,68.93,68.73,68.93
1782736530,68.93,69.03,68.91,69.02
1782736560,69.02,69.18,68.94,69.16
1782736590,69.15,69.22,69.04,69.22
1782736620,69.22,69.23,69.09,69.18
1782736650,69.18,69.3,69.05,69.05
1782736680,69.05,69.05,68.96,68.97
1782736710,68.97,69.01,68.77,68.78
1782736740,68.78,68.93,68.65,68.93
1782736770,68.91,68.96,68.82,68.94
1782736800,68.96,69.05,68.95,68.99
