time,open,high,low,close
1782736570,69.06,69.1,69.05,69.08
1782736575,69.08,69.12,69.08,69.11
1782736580,69.11,69.18,69.11,69.16
1782736585,69.16,69.16,69.15,69.16
1782736590,69.15,69.17,69.11,69.11
1782736595,69.11,69.11,69.04,69.06
1782736600,69.06,69.15,69.05,69.15
1782736605,69.15,69.18,69.15,69.16
1782736610,69.16,69.16,69.12,69.14
1782736615,69.15,69.22,69.12,69.22
1782736620,69.22,69.23,69.16,69.16
1782736625,69.16,69.17,69.16,69.16
1782736630,69.16,69.16,69.12,69.12
1782736635,69.11,69.18,69.09,69.17
1782736640,69.17,69.19,69.17,69.18
1782736645,69.18,69.18,69.17,69.18
1782736650,69.18,69.21,69.14,69.17
1782736655,69.22,69.3,69.22,69.29
1782736660,69.29,69.3,69.24,69.24
1782736665,69.24,69.24,69.19,69.22
1782736670,69.17,69.17,69.1,69.1
1782736675,69.07,69.09,69.05,69.05
1782736680,69.05,69.05,69.04,69.04
1782736685,69.04,69.05,68.97,68.98
1782736690,68.99,69.03,68.99,69.01
1782736695,69.02,69.04,69,69
1782736700,69,69,68.96,68.98
1782736705,68.98,69,68.97,68.97
1782736710,68.97,68.97,68.92,68.95
1782736715,68.96,69.01,68.88,68.99
1782736720,68.99,68.99,68.96,68.99
1782736725,68.99,69.01,68.99,68.99
1782736730,68.99,68.99,68.84,68.85
1782736735,68.85,68.85,68.77,68.78
1782736740,68.78,68.81,68.78,68.8
1782736745,68.8,68.8,68.74,68.76
1782736750,68.77,68.77,68.65,68.69
1782736755,68.7,68.79,68.7,68.78
1782736760,68.78,68.89,68.78,68.88
1782736765,68.88,68.93,68.88,68.93
1782736770,68.91,68.91,68.87,68.87
1782736775,68.87,68.87,68.82,68.82
1782736780,68.85,68.86,68.85,68.86
1782736785,68.86,68.87,68.86,68.87
1782736790,68.9,68.96,68.9,68.95
1782736795,68.95,68.96,68.94,68.94
1782736800,68.96,68.98,68.96,68.97
1782736805,68.97,69.02,68.97,69.02
1782736810,69,69.05,68.98,68.98
1782736815,68.98,69.01,68.95,69
1782736820,69,69,68.95,68.95
1782736825,68.95,68.99,68.95,68.99
1782736830,68.95,68.95,68.94,68.94
1782736835,68.93,68.94,68.92,68.93
1782736840,68.94,68.97,68.92,68.97
1782736845,68.99,69,68.91,68.92
1782736850,68.89,68.91,68.87,68.91
1782736855,68.91,69.03,68.91,69.03
1782736860,69.03,69.03,69,69.02
1782736865,69.02,69.09,69.02,69.09
1782736870,69.09,69.09,68.97,68.97
1782736875,68.97,68.98,68.92,68.92
1782736880,68.92,68.95,68.92,68.94
1782736885,68.93,68.94,68.93,68.94
1782736890,68.94,68.97,68.93,68.95
1782736895,68.93,69.04,68.93,69.03
1782736900,69.12,69.18,69.12,69.18
1782736905,69.17,69.18,69.11,69.11
1782736910,69.11,69.14,69.11,69.14
1782736915,69.12,69.12,69.04,69.04
1782736920,69.04,69.05,69.03,69.05
1782736925,69.05,69.06,69.04,69.06
1782736930,69.06,69.09,69.03,69.05
1782736935,69.04,69.09,69.03,69.09
1782736940,69.09,69.09,69,69
1782736945,69,69,68.98,68.98
1782736950,68.98,69,68.98,68.99
1782736955,68.97,69,68.97,68.99
1782736960,68.99,69.01,68.99,69.01
1782736965,69.01,69.02,68.96,68.96
1782736970,68.96,68.98,68.93,68.98
1782736975,68.97,69.09,68.96,69.08
1782736980,69.08,69.14,69.08,69.1
1782736985,69.1,69.1,69.07,69.09
1782736990,69.09,69.1,69.07,69.1
1782736995,69.11,69.14,69.11,69.14
1782737000,69.14,69.17,69.11,69.17
1782737005,69.17,69.28,69.17,69.28
1782737010,69.28,69.35,69.27,69.35
1782737015,69.35,69.38,69.35,69.36
1782737020,69.35,69.36,69.33,69.36
1782737025,69.36,69.38,69.36,69.37
1782737030,69.37,69.56,69.37,69.56
1782737035,69.57,69.6,69.56,69.6
1782737040,69.62,69.62,69.61,69.61
1782737045,69.61,69.62,69.59,69.62
1782737050,69.62,69.63,69.61,69.62
1782737055,69.68,69.74,69.67,69.74
1782737060,69.77,69.8,69.76,69.79
1782737065,69.79,69.79,69.72,69.72
1782737070,69.72,69.74,69.72,69.73
1782737075,69.73,69.76,69.73,69.75
1782737080,69.75,69.76,69.73,69.75
1782737085,69.82,69.82,69.77,69.81
1782737090,69.8,69.83,69.79,69.83
1782737095,69.84,69.85,69.8,69.8
1782737100,69.8,69.8,69.73,69.73
1782737105,69.73,69.73,69.65,69.65
1782737110,69.65,69.65,69.6,69.6
1782737115,69.6,69.72,69.6,69.72
1782737120,69.73,69.77,69.73,69.76
1782737125,69.72,69.73,69.71,69.72
