time,open,high,low,close
1782736170,68.34,68.41,68.33,68.4
1782736185,68.36,68.48,68.36,68.48
1782736200,68.48,68.48,68.27,68.28
1782736215,68.28,68.3,68.2,68.26
1782736230,68.26,68.44,68.24,68.43
1782736245,68.43,68.47,68.35,68.38
1782736260,68.4,68.47,68.38,68.43
1782736275,68.43,68.45,68.41,68.44
1782736290,68.45,68.5,68.4,68.5
1782736305,68.5,68.66,68.48,68.66
1782736320,68.66,68.66,68.48,68.53
1782736335,68.53,68.71,68.53,68.65
1782736350,68.65,68.85,68.64,68.78
1782736365,68.78,68.78,68.64,68.7
1782736380,68.7,68.7,68.55,68.57
1782736395,68.57,68.58,68.52,68.55
1782736410,68.55,68.55,68.44,68.48
1782736425,68.48,68.55,68.46,68.51
1782736440,68.51,68.53,68.48,68.51
1782736455,68.51,68.53,68.43,68.52
1782736470,68.53,68.61,68.49,68.61
1782736485,68.63,68.81,68.63,68.81
1782736500,68.84,68.84,68.77,68.8
1782736515,68.81,68.93,68.73,68.93
1782736530,68.93,69.01,68.91,69
1782736545,69,69.03,68.99,69.02
1782736560,69.02,69.1,68.94,69.08
1782736575,69.08,69.18,69.08,69.16
1782736590,69.15,69.17,69.04,69.15
1782736605,69.15,69.22,69.12,69.22
1782736620,69.22,69.23,69.12,69.12
1782736635,69.11,69.19,69.09,69.18
1782736650,69.18,69.3,69.14,69.24
1782736665,69.24,69.24,69.05,69.05
1782736680,69.05,69.05,68.97,69.01
1782736695,69.02,69.04,68.96,68.97
1782736710,68.97,69.01,68.88,68.99
1782736725,68.99,69.01,68.77,68.78
1782736740,68.78,68.81,68.65,68.69
1782736755,68.7,68.93,68.7,68.93
1782736770,68.91,68.91,68.82,68.86
1782736785,68.86,68.96,68.86,68.94
1782736800,68.96,69.05,68.96,68.98
1782736815,68.98,69.01,68.95,68.99
